tunner;day_time;song;artist
rockfm;2018/04/13 - 12:15:09;FELL ON BLACK DAYS;SOUNDGARDEN
rockfm;2018/04/13 - 12:16:40;BORN ON THE BAYOU;CREEDENCE CLEARWATER REVIVAL
rockfm;2018/04/13 - 12:22:51;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 12:33:20;PRIDE (IN THE NAME OF LOVE);U2
rockfm;2018/04/13 - 13:51:20;TNT;AC/DC
rockfm;2018/04/13 - 13:54:24;JUST WHAT I NEEDED;THE CARS
rockfm;2018/04/13 - 13:58:01;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 13:59:33;COME OUT AND PLAY;THE OFFSPRING
rockfm;2018/04/13 - 14:02:41;GIMME SOME LOVIN';SPENCER DAVIS GROUP
rockfm;2018/04/13 - 14:05:44;DON'T CRY;GUNS N' ROSES
rockfm;2018/04/13 - 14:10:30;ONE WAY OR ANOTHER;BLONDIE
rockfm;2018/04/13 - 14:13:34;BLACK HOLE SUN;SOUNDGARDEN
rockfm;2018/04/13 - 14:19:44;MY SHARONA;THE KNACK
rockfm;2018/04/13 - 14:24:22;SEND ME AN ANGEL;SCORPIONS
rockfm;2018/04/13 - 14:29:02;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 14:35:13;POUR SOME SUGAR ON ME;DEF LEPPARD
rockfm;2018/04/13 - 14:41:24;FLY AWAY;LENNY KRAVITZ
rockfm;2018/04/13 - 14:58:41;JULIETTE;PLATERO Y TU
rockfm;2018/04/13 - 15:01:44;BORN IN THE U.S.A.;BRUCE SPRINGSTEEN
rockfm;2018/04/13 - 15:07:59;HOW YOU REMIND ME;NICKELBACK
rockfm;2018/04/13 - 15:11:03;RADIO GA GA;QUEEN
rockfm;2018/04/13 - 15:17:19;GIVE IT AWAY;RED HOT CHILI PEPPERS
rockfm;2018/04/13 - 15:21:55;OLD TIME ROCK & ROLL;BOB SEGER
rockfm;2018/04/13 - 15:25:02;COME AS YOU ARE;NIRVANA
rockfm;2018/04/13 - 15:26:33;OLD TIME ROCK & ROLL;BOB SEGER
rockfm;2018/04/13 - 15:29:41;NOTHING ELSE MATTERS;METALLICA
rockfm;2018/04/13 - 15:32:45;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 15:35:52;OVER THE HILLS AND FAR AWAY;GARY MOORE
rockfm;2018/04/13 - 15:40:30;THUNDERSTRUCK;AC/DC
rockfm;2018/04/13 - 15:46:40;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 15:54:23;ROCKIN' ALL OVER THE WORLD;JOHN FOGERTY
rockfm;2018/04/13 - 15:57:30;BITCH;MEREDITH BROOKS
rockfm;2018/04/13 - 16:00:33;TUSH;ZZ TOP
rockfm;2018/04/13 - 16:03:40;ONE;U2
rockfm;2018/04/13 - 16:08:19;RUNAWAY;BON JOVI
rockfm;2018/04/13 - 16:11:23;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 16:12:54;WALK THIS WAY;AEROSMITH feat.RUN DMC
rockfm;2018/04/13 - 16:17:42;LA CHISPA ADECUADA;HÉROES DEL SILENCIO
rockfm;2018/04/13 - 16:22:22;BORN TO BE WILD;STEPPENWOLF
rockfm;2018/04/13 - 16:25:30;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 16:27:01;MRS.ROBINSON;LEMONHEADS
rockfm;2018/04/13 - 16:30:09;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 16:33:12;SUPERSTITIOUS;EUROPE
rockfm;2018/04/13 - 16:36:20;no info;no info
rockfm;2018/04/13 - 16:37:53;UPRISING;MUSE
rockfm;2018/04/13 - 16:41:00;no info;no info
rockfm;2018/04/13 - 16:42:31;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 16:44:03;OUTSIDE;STAIND
rockfm;2018/04/13 - 16:48:42;SERENADE;STEVE MILLER BAND
rockfm;2018/04/13 - 16:51:49;YOU MIGHT THINK;THE CARS
rockfm;2018/04/13 - 16:54:54;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 17:02:41;AMERICAN WOMAN;LENNY KRAVITZ
rockfm;2018/04/13 - 17:04:12;no info;no info
rockfm;2018/04/13 - 17:05:45;AMERICAN WOMAN;LENNY KRAVITZ
rockfm;2018/04/13 - 17:07:20;SO LONELY;THE POLICE
rockfm;2018/04/13 - 17:11:55;LOUIE LOUIE;THE KINGSMEN
rockfm;2018/04/13 - 17:13:29;SELF ESTEEM;THE OFFSPRING
rockfm;2018/04/13 - 17:16:32;no info;no info
rockfm;2018/04/13 - 17:18:04;IN THE AIR TONIGHT;PHILL COLLINS
rockfm;2018/04/13 - 17:22:42;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 17:24:14;I BELIEVE IN A THING CALLED LOVE;THE DARKNESS
rockfm;2018/04/13 - 17:28:53;BREAK ON THROUGH;THE DOORS
rockfm;2018/04/13 - 17:30:25;UNDER PRESSURE;QUEEN & DAVID BOWIE
rockfm;2018/04/13 - 17:33:32;UNA HORA DE ROCK Y SOLO ROCK;RockFM
rockfm;2018/04/13 - 17:35:03;LET'S GET ROCKED;DEF LEPPARD
rockfm;2018/04/13 - 17:38:10;no info;no info
rockfm;2018/04/12 - 19:03:11;LOVE OF MY LIFE;QUEEN
rockfm;2018/04/12 - 19:06:14;CRY BABY;JANIS JOPLIN
melodiafm;2018/04/13 - 12:23:10;I've Had The Time Of My Life;B Medley
melodiafm;2018/04/13 - 12:23:10;Sleeping In My Car;Roxette
melodiafm;2018/04/13 - 12:23:10;Al Calor Del Amor En Un Bar;Gabinete Caligari
melodiafm;2018/04/13 - 12:23:10;Moonlight Shadow;Mike Oldfield
melodiafm;2018/04/13 - 12:23:10;Killing Me Softly;The Fugees
melodiafm;2018/04/13 - 12:23:10;Perfect;Fairground Attraction
melodiafm;2018/04/13 - 12:23:10;Another Brick In The Wall;Pink Floyd
melodiafm;2018/04/13 - 12:23:10;Baby I Love Your Way;Big Mountain
melodiafm;2018/04/13 - 12:23:10;Words;Fr David
melodiafm;2018/04/13 - 12:23:10;Pajaros De Barro;Manolo Garcia
melodiafm;2018/04/13 - 12:23:10;Kiss;Art Of Noise & Tom Jones
melodiafm;2018/04/13 - 12:23:10;Da Ya Think I'm Sexy;Rod Stewart
melodiafm;2018/04/13 - 12:23:10;Lady Marmalade;Christina Aguilera
melodiafm;2018/04/13 - 13:03:53;Gangsta's Paradise;Coolio
melodiafm;2018/04/13 - 13:03:53;Englishman In New York;Sting
melodiafm;2018/04/13 - 13:03:53;El Límite;La Frontera
melodiafm;2018/04/13 - 13:03:53;Black Or White;Michael Jackson
melodiafm;2018/04/13 - 13:03:53;Hungry Heart;Bruce Springsteen
melodiafm;2018/04/13 - 13:03:53;Over My Shoulder;Mike And The Mechanics
melodiafm;2018/04/13 - 13:03:53;High;Lighthouse Family
melodiafm;2018/04/13 - 13:03:53;Don't Go;Yazoo
melodiafm;2018/04/13 - 13:03:53;Believe;Cher
melodiafm;2018/04/13 - 13:03:53;Gold;Spandau Ballet
melodiafm;2018/04/13 - 13:03:53;Dejame;Secretos, Los
melodiafm;2018/04/13 - 13:03:53;Eye Of The Tiger;Survivor
melodiafm;2018/04/13 - 13:03:53;Staying Alive;Bee Gees
melodiafm;2018/04/13 - 14:04:34;Faith;George Michael
melodiafm;2018/04/13 - 14:04:34;Enjoy The Silence;Depeche Mode
melodiafm;2018/04/13 - 14:04:34;Cuando Brille El Sol;La Guardia
melodiafm;2018/04/13 - 14:04:34;Whatever You Want;Status Quo
melodiafm;2018/04/13 - 14:04:34;The Show Must Go On;Queen
melodiafm;2018/04/13 - 14:04:34;Two People;Tina Turner
melodiafm;2018/04/13 - 14:04:34;Never Gonna Give You Up;Rick Astley
melodiafm;2018/04/13 - 14:04:34;Losing My Religion;R.e.m.
melodiafm;2018/04/13 - 14:04:34;Gimme Gimme Gimme;Abba
melodiafm;2018/04/13 - 14:04:34;Cruz De Navajas;Mecano
melodiafm;2018/04/13 - 14:04:34;She Drives Me Crazy;Fine Young Cannibal
melodiafm;2018/04/13 - 14:04:34;Hold The Line;Toto
melodiafm;2018/04/13 - 14:04:34;Fields Of Gold;Sting
melodiafm;2018/04/13 - 15:05:12;Crying;Aerosmith
melodiafm;2018/04/13 - 15:05:12;Bad;Michael Jakson
melodiafm;2018/04/13 - 15:05:12;Espaldas Mojadas;Tam Tam Go!
melodiafm;2018/04/13 - 15:05:12;If You Could Read My Mind;Stars On 54
melodiafm;2018/04/13 - 15:05:12;I Don't Want A Lover;Texas
melodiafm;2018/04/13 - 15:05:12;Walk Like An Egyptian;Bangles
melodiafm;2018/04/13 - 15:05:12;Angels;Robbie Williams
melodiafm;2018/04/13 - 15:05:12;Born In The U.s.a.;Bruce Springsteen...
melodiafm;2018/04/13 - 15:05:12;U Can't Touch This;Mc Hammer
melodiafm;2018/04/13 - 15:05:12;Holding Out For A Hero;Bonnie Tyler
melodiafm;2018/04/13 - 15:05:12;Ni Tú Ni Nadie;Alaska Y Dinarama
melodiafm;2018/04/13 - 15:05:12;Hungry Eyes;Eric Carmen
melodiafm;2018/04/13 - 15:05:12;I Got You I Feel Good;James Brown
melodiafm;2018/04/13 - 16:05:52;Enola Gay;O.m.d.
melodiafm;2018/04/13 - 16:05:52;Strong Enough;Cher
melodiafm;2018/04/13 - 16:05:52;Canta Por Mi;El Último De La Fila
melodiafm;2018/04/13 - 16:05:52;I Wanna Dance With Some;Whitney Houton
melodiafm;2018/04/13 - 16:05:52;Vogue;Madonna
melodiafm;2018/04/13 - 16:05:52;Close To Me;The Cure
melodiafm;2018/04/13 - 16:05:52;Just Can't Get Enough;Depeche Mode
melodiafm;2018/04/13 - 16:05:52;It's Raining Men;Geri Halliwell
melodiafm;2018/04/13 - 16:05:52;Take On Me;A-ha
melodiafm;2018/04/13 - 16:05:52;No Me Importa Nada;Luz
melodiafm;2018/04/13 - 16:05:52;Karma Charmeleon;Culture Club
melodiafm;2018/04/13 - 16:05:52;Baker Street;Gerry Raferty
melodiafm;2018/04/13 - 16:05:52;Everybody Hurts;R.e.m.
melodiafm;2018/04/13 - 17:06:43;Another Day In Paradise;Phil Collins
melodiafm;2018/04/13 - 17:06:43;The Way You Make Me Feel;Michael Jackso...
melodiafm;2018/04/13 - 17:06:43;Corazon De Tiza;Radio Futura
melodiafm;2018/04/13 - 17:06:43;The Power;Snap
melodiafm;2018/04/13 - 17:06:43;Maneater;Hall & Oates
melodiafm;2018/04/13 - 17:06:43;Johnny And Mary;Robert Palmer
melodiafm;2018/04/13 - 17:06:43;I Can't Help Falling In Love;Ub40
melodiafm;2018/04/13 - 17:06:43;You Can Leave Your Hat On;Joe Cocker
melodiafm;2018/04/13 - 17:06:43;Maria;Blondie
melodiafm;2018/04/13 - 17:06:43;Don't Get Me Wrong;The Pretenders
melodiafm;2018/04/13 - 17:06:43;Cien Gaviotas;Duncan Dhu
melodiafm;2018/04/13 - 17:06:43;Self Control;Laura Branigan
melodiafm;2018/04/13 - 17:06:43;Ymca;Village People
melodiafm;2018/04/13 - 18:07:13;The Final Countdown;Europe
melodiafm;2018/04/13 - 18:07:13;Just Another Day;Jon Secada
melodiafm;2018/04/13 - 18:07:13;En El Muelle De San Blas;Maná
melodiafm;2018/04/13 - 18:07:13;Shout;Tears For Fears
melodiafm;2018/04/13 - 18:07:13;What Is Love;Haddaway
melodiafm;2018/04/13 - 18:07:13;Don't Dream It's Over;Crowded House
melodiafm;2018/04/13 - 18:07:13;Dancing In The Dark;B. Springsteen
melodiafm;2018/04/13 - 18:07:13;The Shoop Shoop Song;Cher
melodiafm;2018/04/13 - 18:07:13;Living On A Prayer;Bon Jovi
melodiafm;2018/04/13 - 18:07:13;A Quien Le Importa;Alaska Y Dinarama
melodiafm;2018/04/13 - 18:07:13;Message In A Bottle;The Police
melodiafm;2018/04/13 - 18:07:13;Ain't No Mountain High;M. Gaye & T. Ter...
melodiafm;2018/04/13 - 18:07:13;Friends Will Be Friends;Queen
melodiafm;2018/04/12 - 16:54:53;High;Lighthouse Family
melodiafm;2018/04/12 - 16:54:53;She Drives Me Crazy;Fine Young Cannibal
melodiafm;2018/04/12 - 16:54:53;A Quien Le Importa;Alaska Y Dinarama
melodiafm;2018/04/12 - 16:54:53;Life;Des'ree
melodiafm;2018/04/12 - 16:54:53;Don't Go;Yazoo
melodiafm;2018/04/12 - 16:54:53;Dance Little Sister;Terence Trent D'arb...
melodiafm;2018/04/12 - 16:54:53;Say What You Want;Texas
melodiafm;2018/04/12 - 16:54:53;Highway To Hell;Ac/dc
melodiafm;2018/04/12 - 16:54:53;Just Another Day;Jon Secada
melodiafm;2018/04/12 - 16:54:53;I Want It All;Queen
melodiafm;2018/04/12 - 16:54:53;Dejame;Secretos, Los
melodiafm;2018/04/12 - 16:54:53;I Still Haven't Found What...;U2
melodiafm;2018/04/12 - 16:54:53;Hot Stuff;Donna Summer
melodiafm;2018/04/12 - 17:05:04;Every Breath You Take;The Police
melodiafm;2018/04/12 - 17:05:04;Gangsta's Paradise;Coolio
melodiafm;2018/04/12 - 17:05:04;Mil Calles;La Guardia
melodiafm;2018/04/12 - 17:05:04;Fame;Irene Cara
melodiafm;2018/04/12 - 17:05:04;Crazy;Aerosmith
melodiafm;2018/04/12 - 17:05:04;Brilliant Disguise;Bruce Springsteen
melodiafm;2018/04/12 - 17:05:04;The Locomotion;Kylie Minogue
melodiafm;2018/04/12 - 17:05:04;It Ain't Over Till It's Over;Lenny Krav...
melodiafm;2018/04/12 - 17:05:04;Part-time Lover;Stevie Wonder
melodiafm;2018/04/12 - 17:05:04;Pajaros De Barro;Manolo Garcia
melodiafm;2018/04/12 - 17:05:04;Don't Leave Me This Way;The Communards
melodiafm;2018/04/12 - 17:05:04;Dancing Queen;Abba
melodiafm;2018/04/12 - 17:05:04;Everything I Do I Do It For You;B.adams...
melodiafm;2018/04/12 - 18:08:04;Dreams;The Cranberries
melodiafm;2018/04/12 - 18:08:04;There Must Be An Angel;Eurythmics
melodiafm;2018/04/12 - 18:08:04;Una Calle De París;Duncan Dhu
melodiafm;2018/04/12 - 18:08:04;How Do You Do;Roxette
melodiafm;2018/04/12 - 18:08:04;Eye In The Sky;The Alan Parsons Proyect...
melodiafm;2018/04/12 - 18:08:04;Two People;Tina Turner
melodiafm;2018/04/12 - 18:08:04;All That She Wants;Ace Of Base
melodiafm;2018/04/12 - 18:08:04;Cant Take My Eyes Of You;Boys Town Gang...
melodiafm;2018/04/12 - 18:08:04;Enjoy The Silence;Depeche Mode
melodiafm;2018/04/12 - 18:08:04;Papa Don't Preach;Madonna
melodiafm;2018/04/12 - 18:08:04;Barco A Venus;Mecano
melodiafm;2018/04/12 - 18:08:04;I Want To Break Free;Queen
melodiafm;2018/04/12 - 18:08:04;Rivers Of Babylon;Boney M
melodiafm;2018/04/12 - 19:03:12;Never Gonna Give You Up;Rick Astley
melodiafm;2018/04/12 - 19:03:12;If You Could Read My Mind;Stars On 54
melodiafm;2018/04/12 - 19:03:12;El Límite;La Frontera
melodiafm;2018/04/12 - 19:03:12;I Wanna Dance With Some;Whitney Houton
melodiafm;2018/04/12 - 19:03:12;Losing My Religion;R.e.m.
melodiafm;2018/04/12 - 19:03:12;So Far Away;Dire Straits
melodiafm;2018/04/12 - 19:03:12;Smooth Criminal;Michael Jackson
melodiafm;2018/04/12 - 19:03:12;Angels;Robbie Williams
melodiafm;2018/04/12 - 19:03:12;Words;Fr David
melodiafm;2018/04/12 - 19:03:12;Santa Lucía;Miguel Ríos
melodiafm;2018/04/12 - 19:03:12;Faith;George Michael
melodiafm;2018/04/12 - 19:03:12;Greased Lightning;John Travolta
melodiafm;2018/04/12 - 19:03:12;Sexual Healing;Marvin Gaye
kissfm;2018/04/12 - 18:22:49;WOULD I LIE TO YOU;CHARLES & EDDIE
kissfm;2018/04/12 - 18:24:22;I WILL LOVE AGAIN;LARA FABIAN
kissfm;2018/04/12 - 18:27:31;HUNGRY EYES;ERIC CARMEN
kissfm;2018/04/12 - 18:35:32;DON´T LEAVE ME THIS WAY;THE COMMUNARDS
kissfm;2018/04/12 - 18:40:11;GENIE IN A BOTTLE;CHRISTINA AGUILERA
kissfm;2018/04/12 - 18:43:51;CARELESS WHISPER;GEORGE MICHAEL
kissfm;2018/04/12 - 18:48:30;THAT´S THE WAY IT IS;CELINE DION
kissfm;2018/04/12 - 18:51:34;FREE;ULTRA NATÉ
kissfm;2018/04/12 - 18:54:43;99 RED BALLOONS;NENA
kissfm;2018/04/12 - 19:00:50;INFORMACIÓN;CON ISMAEL ARRANZ
kissfm;2018/04/12 - 19:03:54;THE WAY YOU MAKE ME FEEL;MICHAEL JACKSON
kissfm;2018/04/12 - 19:08:33;RAINCLOUD;LIGHTHOUSE FAMILY
kissfm;2018/04/12 - 19:18:42;EASY LOVER;PHIL COLLINS & PHILIP BALLEY
kissfm;2018/04/12 - 19:21:49;I WANT IT THAT WAY;BACKSTREET BOYS
kissfm;2018/04/12 - 19:26:31;OUT OF REACH;GABRIELLE
kissfm;2018/04/12 - 19:29:36;DON´T YOU WANT ME;THE HUMAN LEAGUE
kissfm;2018/04/12 - 19:37:23;VOGUE;MADONNA
icat;2018/04/13 - 12:13:50;SAVE ME;EMBRACE
icat;2018/04/13 - 12:17:03;RODEO;QTY
icat;2018/04/13 - 12:18:34;LABERINT;ÈRIC VINAIXA
icat;2018/04/13 - 12:23:13;HEY BOY;SHE-DEVILS
icat;2018/04/13 - 12:26:20;I WON'T BACK DOWN;TOM PETTY
icat;2018/04/13 - 12:29:25;IGUALS;JORDI GAS
icat;2018/04/13 - 12:33:39;PEARLY GATES;U.S. GIRLS
icat;2018/04/13 - 12:36:42;THE SYSTEM ONLY DREAMS IN TOTAL DARKNESS;THE NATIONAL
icat;2018/04/13 - 12:39:44;COM PUC SABER EL QUE PENSES;EL PETIT DE CAL ERIL
icat;2018/04/13 - 12:42:49;LOVELESS;LITTLE CUB
icat;2018/04/13 - 12:47:24;REVENGE;P!NK
icat;2018/04/13 - 12:48:59;DONA OCELL;ISAAC ULAM
icat;2018/04/13 - 12:52:02;WANNABE;SPICE GIRLS
icat;2018/04/13 - 12:55:10;YOU KNOW IT'S RIGHT;STAY
icat;2018/04/13 - 12:58:19;EL BON AMOR;JOAN MASDÉU
icat;2018/04/13 - 13:04:31;SUMMER DAYS (ROOSEVELT REMIX);RHYE
icat;2018/04/13 - 13:07:39;HORSERIDING;ANOTHER SUNNY DAY
icat;2018/04/13 - 13:09:10;ANOTHER ROAD;MORGAN
icat;2018/04/13 - 13:13:44;NO PEACE;SYD ARTHUR
icat;2018/04/13 - 13:16:52;TAN VALENT;THE NEW RAEMON
icat;2018/04/13 - 13:19:55;TO ROME;DEEPEND
icat;2018/04/13 - 13:21:32;ANOTHER ONE BITES THE DUST;QUEEN
icat;2018/04/13 - 13:24:40;QUI T'ESTIMA;GENER
icat;2018/04/13 - 13:29:20;EASY BABY;HUDSON TAYLOR
icat;2018/04/13 - 13:32:24;BASEBALL;HIPPO CAMPUS
icat;2018/04/13 - 13:37:04;BELLAVISTA;ILLA CAROLINA
icat;2018/04/13 - 13:40:12;IN TROUBLE;JOEL SARAKULA
icat;2018/04/13 - 13:43:20;SOMEDAY;PALE SEAS
icat;2018/04/13 - 13:46:28;LA PALMERA;NICO ROIG
icat;2018/04/13 - 13:49:33;REAL GONE KID;DEACON BLUE
icat;2018/04/13 - 13:54:11;BLOSSOM;MILKY CHANCE
icat;2018/04/13 - 13:57:21;EN DIFERENTS PAPERS;ORIOL BARRI
icat;2018/04/13 - 14:00:30;FIGHT OR FLIGHT OR DANCE ALL NIGHT;KOMMODE
icat;2018/04/13 - 14:05:11;BOYFRIEND (REPEAT);CONFIDENCE MAN
icat;2018/04/13 - 14:09:51;BILL DRUMMOND SAID;JULIAN COPE
icat;2018/04/13 - 14:11:25;LOVE ME DO;ROLLER DISCO COMBO
icat;2018/04/13 - 14:14:33;NOSTÀLGIA OLÍMPICA;MARETA BUFONA
icat;2018/04/13 - 14:17:40;LOVE YOU SO BAD;EZRA FURMAN
icat;2018/04/13 - 14:20:49;LADY MARMALADE;LABELLE
icat;2018/04/13 - 14:23:59;PEDRES ALS AVIONS;OQUES GRASSES
icat;2018/04/13 - 14:27:01;WISH (FEAT. TRIPPIE REDD);DIPLO
icat;2018/04/13 - 14:30:09;SPIRAL SKIES;THE LAZY LIES
icat;2018/04/13 - 14:33:14;AIXÒ ÉS CASA NOSTRA;CORIOLÀ
icat;2018/04/13 - 14:37:54;MI FAMOSO GANCHO DE IZQUIERDA;EGON SODA
icat;2018/04/13 - 14:41:09;DON'T STOP THE DANCE;BIGOTT
icat;2018/04/13 - 14:42:40;PLÀSTIK;BIKIMEL
icat;2018/04/13 - 14:47:14;PERFECT;SMASHING PUMPKINS
icat;2018/04/13 - 14:50:24;HAPPY HOUR;WEEZER
icat;2018/04/13 - 14:53:31;COMEBACK KIDS;THE JAYHAWKS
icat;2018/04/13 - 14:56:38;PARAULES D'UNA DONA SÀVIA;EXILI A ELBA
icat;2018/04/13 - 15:01:20;THERE'S A HONEY;PALE WAVES
icat;2018/04/13 - 15:04:28;BORN IN THE 70'S;ED HARCOURT
icat;2018/04/13 - 15:07:38;PRICE OF FAME;PALOMA FAITH
icat;2018/04/13 - 15:10:44;FOR ELISE;SAINT MOTEL
